volume,vw,open,close,high,low,date,n
1065.0,221.7316,221.74,221.77,221.77,221.68,2024-08-14 10:10:00,34
6734.0,221.4101,221.74,221.2,221.74,221.2,2024-08-14 10:15:00,159
749.0,221.2713,221.27,221.26,221.27,221.26,2024-08-14 10:20:00,15
811.0,221.4497,221.51,221.4,221.51,221.4,2024-08-14 10:30:00,31
465.0,221.5096,221.5,221.51,221.51,221.5,2024-08-14 10:50:00,18
3274.0,221.4095,221.51,221.35,221.51,221.35,2024-08-14 10:55:00,74
4025.0,221.2826,221.33,221.19,221.33,221.19,2024-08-14 11:00:00,191
5706.0,221.059,221.19,220.98,221.21,220.98,2024-08-14 11:05:00,260
2986.0,221.0017,221.09,221.08,221.09,220.95,2024-08-14 11:10:00,66
1738.0,221.0677,221.08,221.06,221.08,221.04,2024-08-14 11:15:00,38
2175.0,221.1165,221.05,221.11,221.15,221.05,2024-08-14 11:20:00,77
3303.0,221.1314,221.14,221.14,221.15,221.1,2024-08-14 11:25:00,65
1325.0,221.1089,221.14,221.1,221.14,221.09,2024-08-14 11:30:00,50
1944.0,221.0771,221.05,221.11,221.11,221.05,2024-08-14 11:35:00,55
4283.0,221.1157,221.11,221.07,221.14,221.07,2024-08-14 11:40:00,96
1097.0,221.1101,221.08,221.14,221.14,221.08,2024-08-14 11:45:00,29
3618.0,221.1033,221.09,221.11,221.11,221.09,2024-08-14 11:50:00,38
2061.0,221.0496,221.05,221.04,221.05,221.04,2024-08-14 11:55:00,71
1128473.0,221.2644,221.2,221.14,221.65,220.35,2024-08-14 12:00:00,1185
1156.0,221.1051,221.11,221.1324,221.1324,221.1,2024-08-14 12:05:00,43
9622.0,221.0831,221.04,221.1,221.14,221.04,2024-08-14 12:10:00,255
10559.0,221.0415,221.08,221.03,221.09,221.0,2024-08-14 12:15:00,298
4813.0,221.0368,221.03,221.06,221.06,221.0001,2024-08-14 12:20:00,169
8918.0,221.1801,221.09,221.3598,221.3598,221.09,2024-08-14 12:25:00,221
68548.0,221.2211,221.37,221.028,221.9996,220.32,2024-08-14 12:30:00,1333
23856.0,221.2766,220.81,221.55,221.55,220.81,2024-08-14 12:35:00,561
27166.0,221.4811,221.54,221.65,221.65,221.2,2024-08-14 12:40:00,428
21352.0,221.573,221.5821,221.4,221.73,221.4,2024-08-14 12:45:00,396
17663.0,221.3235,221.42,221.35,221.48,221.21,2024-08-14 12:50:00,282
11856.0,221.3483,221.35,221.41,221.45,221.25,2024-08-14 12:55:00,271
21441.0,221.5963,221.35,221.54,221.7,221.35,2024-08-14 13:00:00,363
22821.0,221.4892,221.54,221.4,221.61,221.3,2024-08-14 13:05:00,523
18245.0,221.5255,221.4,221.51,221.72,221.36,2024-08-14 13:10:00,421
11201.0,221.6178,221.54,221.69,221.69,221.53,2024-08-14 13:15:00,290
32500.0,221.8482,221.7,221.99,222.0,221.6073,2024-08-14 13:20:00,719
197671.0,220.7491,221.61,220.42,221.84,220.17,2024-08-14 13:25:00,2398
2033279.0,220.3195,220.57,220.905,220.94,219.7,2024-08-14 13:30:00,23045
1286102.0,221.3842,220.91,221.98,222.0,220.61,2024-08-14 13:35:00,16456
842889.0,221.565,221.97,221.46,222.02,221.16,2024-08-14 13:40:00,11737
772063.0,221.3844,221.47,221.1006,221.675,221.04,2024-08-14 13:45:00,9797
561466.0,220.9554,221.12,220.73,221.27,220.6814,2024-08-14 13:50:00,7650
452028.0,220.9308,220.7517,220.95,221.1399,220.71,2024-08-14 13:55:00,6973
448688.0,220.9205,220.945,221.17,221.2,220.69,2024-08-14 14:00:00,6957
399056.0,221.1248,221.1869,221.1501,221.3499,220.81,2024-08-14 14:05:00,7118
497249.0,221.0756,221.165,221.43,221.45,220.79,2024-08-14 14:10:00,8099
515680.0,221.4861,221.44,221.5973,221.7,221.25,2024-08-14 14:15:00,7279
334777.0,221.504,221.59,221.42,221.68,221.3305,2024-08-14 14:20:00,5404
397722.0,221.1781,221.4,221.13,221.46,220.95,2024-08-14 14:25:00,6594
487564.0,220.823,221.11,220.59,221.25,220.455,2024-08-14 14:30:00,10357
429078.0,220.7897,220.6,221.09,221.11,220.47,2024-08-14 14:35:00,14655
376398.0,221.3367,221.1,221.4,221.48,221.09,2024-08-14 14:40:00,14235
405349.0,221.4989,221.41,221.61,221.64,221.27,2024-08-14 14:45:00,15842
367364.0,221.6003,221.61,221.5257,221.69,221.52,2024-08-14 14:50:00,14971
320215.0,221.6389,221.525,221.6901,221.73,221.4605,2024-08-14 14:55:00,14184
568937.0,221.94,221.695,222.135,222.24,221.6,2024-08-14 15:00:00,14779
362768.0,222.0306,222.135,222.16,222.17,221.84,2024-08-14 15:05:00,11754
335807.0,222.2209,222.15,222.25,222.29,222.15,2024-08-14 15:10:00,11756
380756.0,222.3698,222.25,222.2901,222.535,222.19,2024-08-14 15:15:00,12388
242119.0,222.327,222.2999,222.245,222.44,222.24,2024-08-14 15:20:00,10571
241481.0,222.4312,222.25,222.5587,222.56,222.25,2024-08-14 15:25:00,10755
323083.0,222.6282,222.55,222.68,222.75,222.53,2024-08-14 15:30:00,13248
266249.0,222.7367,222.69,222.845,222.89,222.62,2024-08-14 15:35:00,14922
346087.0,222.6402,222.85,222.41,222.86,222.39,2024-08-14 15:40:00,15472
226485.0,222.4964,222.4,222.5,222.6198,222.4,2024-08-14 15:45:00,13277
